Title,Combined_Skills,YearsOfExperience
Android Development Intern,Kotlin; Java; Android Studio; XML; UI/UX Basics; SQLite; REST API; Git Kotlin; Java; Android Studio; Material Design; UI/UX Design; REST API; SQLite,0.0
Android Solutions Architect,Kotlin; Java; Android Studio; MVVM; Clean Architecture; Jetpack; Dagger; Firebase; Room; CI/CD; Unit Testing; Performance Optimization Kotlin; Jetpack; MVVM; Room; Material Design; Dependency Injection; Performance Optimization; CI/CD; Firebase; REST API; Play Store; Debugging; Agile; Unit Testing; Android NDK,5.0
Android Solutions Engineer,Java; Kotlin; Android Studio; MVVM; Clean Architecture; Jetpack; Room; REST APIs; Firebase; CI/CD; Unit Testing Kotlin; Jetpack; MVVM; Room; Material Design; Dependency Injection; Performance Optimization; CI/CD; Firebase; REST API; Play Store; Debugging; Agile; Unit Testing; Android NDK,4.0
Android Tech Lead,Kotlin; Java; Android Studio; MVVM; Clean Architecture; Jetpack; Dagger; Firebase; Room; CI/CD; Unit Testing Kotlin; Jetpack; MVVM; Room; Material Design; Dependency Injection; Performance Optimization; CI/CD; Firebase; REST API; Play Store; Debugging; Agile; Unit Testing; Android NDK,5.0
Associate Android Developer,Java; Kotlin; Android Studio; XML; UI/UX Design; SQLite; REST API; Git Java; Kotlin; Android Studio; Material Design; UI/UX Design; REST API; SQLite,0.0
Associate Cloud Architect,AWS basics; Azure basics; Docker; Linux administration; Cloud database basics Cloud Computing; AWS; Azure; Docker; Cloud Databases; Virtualization,0.5
Associate Cybersecurity Analyst,Wireshark; Firewall Basics; Linux Security; Incident Response; GDPR Basics Firewall Management; Incident Response; Vulnerability Scanning; SIEM; Network Security,0.5
Associate Network Engineer,Cisco IOS; Subnetting; DNS; DHCP; Python Basics; Bash Basics Cisco IOS; DHCP; DNS; Subnetting; Entry-Level Networking,1.0
Associate System Engineer,Linux Administration Basics; VMware; Cloud Concepts; Perl Basics; TCP/IP Linux; Systems Engineering; VMware; Cloud Computing; Automation Basics,1.0
Associate UX Designer,Figma; Sketch; Adobe XD; User Research Basics; Wireframes; Prototyping; Typography; Team Collaboration Sketch; Wireframing; User Flows; Collaboration; Figma; Typography; User Research,0.5
Associate iOS Engineer,Swift; Objective-C; JSON; REST APIs; Git Swift; Objective-C; JSON; REST APIs; Mobile Testing,0.0
